x,c=2,c=1.5,Analytical
-50,0,0,0
-48.9899,0,0,0
-47.9798,0,0,0
-46.9697,0,0,0
-45.9596,0,0,0
-44.9495,0,0,0
-43.9394,0,0,0
-42.9293,0,0,0
-41.9192,0,0,0
-40.9091,0,0,0
-39.899,0,0,0
-38.8889,0,0,0
-37.8788,0,0,0
-36.8687,0,0,0
-35.8586,0,0,0
-34.8485,0,0,0
-33.8384,0,0,0
-32.8283,0,0,0
-31.8182,0,0,0
-30.8081,0,0,0
-29.798,0,0,0
-28.7879,0,0,0
-27.7778,0,0,0
-26.7677,0,0,0
-25.7576,0,0,0
-24.7475,0,0,0
-23.7374,0,4.60952e-13,0
-22.7273,0,4.60952e-13,0
-21.7172,0,-2.53523e-11,0
-20.7071,0,-2.53523e-11,0
-19.697,0,5.98469e-10,0
-18.6869,0,5.98469e-10,0
-17.6768,0,-7.7201e-09,0
-16.6667,0,-7.7201e-09,0
-15.6566,0,5.56078e-08,0
-14.6465,0,5.56078e-08,0
-13.6364,0,-1.72674e-07,0
-12.6263,0,-1.72674e-07,0
-11.6162,0,-4.07455e-07,0
-10.6061,0,-4.07455e-07,0
-9.59596,0,4.86903e-06,0
-8.58586,0,4.86903e-06,0
-7.57576,0,-6.82292e-06,0
-6.56566,0,-6.82292e-06,0
-5.55556,0,-5.23398e-05,0
-4.54545,0,-5.23398e-05,0
-3.53535,0,0.000142334,0
-2.52525,0,0.000142334,0
-1.51515,0,0.000411636,0
-0.505051,0,0.000411636,0
0.505051,0,-0.00128293,0
1.51515,0,-0.00128293,0
2.52525,0,-0.00316804,0
3.53535,0,-0.00316804,0
4.54545,0,0.00637096,0
5.55556,0,0.00637096,0
6.56566,0,0.0219833,0
7.57576,0,0.0219833,0
8.58586,0,-0.00608912,0
9.59596,0,-0.00608912,0
10.6061,0,-0.094771,0
11.6162,0,-0.094771,0
12.6263,0,-0.122393,0
13.6364,0,-0.122393,0
14.6465,0,0.0656075,0
15.6566,0,0.0656075,0
16.6667,0,0.43068,0
17.6768,0,0.43068,1
18.6869,1,0.766364,1
19.697,1,0.766364,1
20.7071,1,0.942579,1
21.7172,1,0.942579,1
22.7273,1,0.99362,1
23.7374,1,0.99362,1
24.7475,1,1,1
25.7576,1,1,1
26.7677,1,1,1
27.7778,1,1,1
28.7879,1,1,1
29.798,1,1,1
30.8081,1,1,1
31.8182,1,1,1
32.8283,1,1,1
33.8384,1,1,1
34.8485,1,1,1
35.8586,1,1,1
36.8687,1,1,1
37.8788,1,1,1
38.8889,1,0.999995,1
39.899,1,1,1
40.9091,1,1.00003,1
41.9192,1,1,1
42.9293,1,0.999786,1
43.9394,1,1,1
44.9495,1,1.00133,1
45.9596,1,1,1
46.9697,1,0.987777,1
47.9798,1,1,1
48.9899,1,1.03975,1
50,1,1,1
